date,FB,GOOGL,AMZN,DELL,IBM,INTC,AAPL,MSFT,CSCO,ORCL,NVDA,VMW,HPQ,AMD,TSM,TXN,QCOM
2016-03-22,112.25,760.05,560.48,,131.2073,29.7535,101.3397,50.7471,25.6097,39.4768,33.3916,43.9038,11.2255,2.79,23.586,52.6721,46.3837
2016-03-23,112.54,757.56,569.63,,128.8152,29.4589,100.7795,50.6533,25.2022,38.8758,33.9637,43.073,11.0058,2.68,23.4672,52.3944,45.4653
2016-03-24,113.05,754.84,582.95,,131.0744,29.3484,100.3427,50.8785,25.3199,39.0857,34.013,42.4334,11.0516,2.79,23.5129,52.487,45.3494
2016-03-28,113.69,753.28,579.87,,131.473,29.3668,99.8869,50.2497,25.2656,38.7518,34.3583,42.4417,11.0516,2.78,23.4215,52.3204,44.7519
2016-03-29,116.14,765.89,593.86,,132.297,29.8087,102.2513,51.3478,25.4467,38.8281,34.9107,42.6743,11.2438,2.86,23.7322,53.1442,45.1978
2016-03-30,114.7,768.34,598.69,,131.4819,30.1125,104.0366,51.6669,25.7727,39.0857,35.2757,43.2724,11.2621,2.86,24.18,54.0329,45.4653
2016-03-31,114.1,762.9,593.64,,134.1751,29.7811,103.4953,51.8359,25.7818,39.0284,35.1475,43.4552,11.2805,2.85,23.9424,53.1535,45.599
2016-04-01,116.06,769.67,598.5,,135.1231,29.8731,104.4449,52.155,25.981,39.2669,35.6604,43.2226,11.2255,2.83,23.8693,53.6349,45.3672
2016-04-04,112.55,765.12,593.19,,134.7244,29.4589,105.5179,52.0236,25.716,39.1811,35.3152,42.9484,11.079,2.83,23.6225,53.4312,45.1621
2016-04-05,112.22,758.57,586.14,,132.8905,29.3668,104.274,51.207,25.2042,38.6659,35.2658,42.1177,10.9417,2.76,23.3118,53.4219,44.6449
2016-04-06,113.71,768.07,602.08,,132.9083,29.5325,105.366,51.7326,25.588,38.8758,35.3152,42.3669,11.2438,2.8,23.4124,54.0237,45.1354
2016-04-07,113.64,760.12,591.43,,131.3401,29.0446,103.068,51.1132,25.2225,38.1317,34.9502,42.234,10.9783,2.64,23.1839,52.9036,44.6093
2016-04-08,110.63,759.47,594.6,,132.3147,29.1183,103.1819,51.0756,25.3047,38.5037,35.177,43.1976,11.0424,2.74,23.1016,53.5886,45.0819
2016-04-11,108.99,757.54,595.93,,132.2261,29.1551,103.5238,50.9724,25.2408,38.5323,35.3941,42.5248,11.1065,2.76,23.3118,53.5238,45.4742
2016-04-12,110.61,764.32,603.17,,132.5627,29.33,104.8722,51.2915,25.259,38.7047,35.3546,41.8519,11.1889,2.81,23.3667,54.0977,45.3137
2016-04-13,110.51,771.91,614.82,,133.9802,29.5786,106.3915,51.9485,25.7982,39.5569,36.2424,43.1063,11.5735,2.8,23.915,54.7735,46.2945
2016-04-14,110.84,775.39,620.75,,133.9182,29.2748,106.4485,51.9579,25.8165,39.4899,36.3411,43.1312,11.491,2.72,23.1199,54.8197,46.2053
2016-04-15,109.64,780.0,625.89,,134.4144,28.9618,104.3119,52.23,25.4966,39.2792,36.6271,42.9734,11.4636,2.7,23.2661,54.5513,45.5277
2016-04-18,110.45,787.68,635.35,,135.132,29.1367,102.0614,52.9903,25.7617,39.4899,36.4693,42.9401,11.6009,2.76,23.3027,54.5698,45.9646
2016-04-19,112.29,776.25,627.9,,127.5749,29.0906,101.5202,52.9246,25.8896,39.3175,35.8182,42.7491,11.7016,2.62,22.992,54.0792,46.2143
2016-04-20,112.42,774.92,632.99,,129.4442,29.4589,101.7291,52.1737,25.9901,39.3558,35.9564,48.6223,11.72,2.7,22.9554,54.6624,46.4461
2016-04-21,113.44,780.0,631.0,,132.2704,29.4313,100.6275,52.3521,25.8074,39.2505,35.9169,48.2734,11.5277,2.62,22.992,54.4865,46.0716
2016-04-22,110.56,737.77,620.5,,131.5616,29.1275,100.3522,48.5979,25.7251,38.9728,35.7788,48.4312,11.546,3.99,22.9097,54.3199,46.9365
2016-04-25,110.1,742.21,626.2,,131.8363,28.8973,99.7824,48.9076,25.7982,39.0494,35.9564,47.6669,11.5094,3.45,22.8549,54.6346,46.7492
2016-04-26,108.76,725.37,616.88,,132.0755,28.9065,99.0892,48.2788,25.9993,38.9249,35.9859,47.9245,11.6559,3.66,22.8549,54.9864,47.1772
2016-04-27,108.89,721.46,606.57,,133.3069,29.2287,92.8884,47.8095,26.1729,39.1165,36.8047,48.589,11.6833,3.73,23.0742,55.4677,47.1683
2016-04-28,116.73,705.06,602.0,,130.2947,28.6396,90.0492,46.8334,25.5515,38.6185,35.7097,47.7999,11.5094,3.61,22.0782,54.6759,46.4817
2016-04-29,117.58,707.88,659.59,,129.2936,27.8755,89.0141,46.8052,25.122,38.1685,35.0488,47.2765,11.2347,3.55,21.5573,53.1387,45.0462
2016-05-02,118.57,714.41,683.85,,128.7001,28.1793,88.9192,47.4998,25.0123,38.5898,35.5124,47.6254,11.0973,3.74,21.6487,53.8933,45.5723
2016-05-03,117.43,708.44,671.32,,127.6901,27.9491,90.3815,46.7208,24.5462,37.9961,35.0883,46.5621,10.7219,3.6,21.3105,53.2878,45.2334
2016-05-04,118.06,711.37,670.9,,127.7964,27.717,89.4414,46.8052,24.1624,37.6227,34.2892,45.9889,10.6121,3.6,21.4019,52.5705,45.0194
2016-05-05,117.81,714.71,659.09,,129.7631,27.7634,89.0784,46.8709,23.9522,37.5652,34.4964,46.0221,10.4839,3.66,21.475,52.7661,45.5901
2016-05-06,119.49,725.18,673.95,,131.7489,27.8934,88.5816,47.2933,24.2447,37.7376,34.8515,45.9806,10.6121,3.68,21.3928,53.2878,45.4029
2016-05-09,119.24,729.13,679.75,,131.7936,27.6705,88.6485,46.993,24.2264,37.6897,34.8022,46.0055,10.4656,3.65,21.3562,53.0176,45.6525
2016-05-10,120.5,739.38,703.07,,134.1461,27.9863,89.2504,47.8846,24.7016,38.3217,35.473,46.8944,10.6304,3.64,21.3745,53.6884,46.4996
2016-05-11,119.52,730.55,713.23,,133.2338,27.912,88.381,47.9127,24.4,37.9674,35.5716,46.7033,10.7036,3.65,21.2192,53.6884,46.4996
2016-05-12,120.28,728.07,717.93,,133.1354,27.6334,86.3079,48.3445,24.3726,38.1302,35.0883,47.0356,10.5846,3.59,21.009,53.2505,45.9289
2016-05-13,119.81,724.83,709.92,,132.1335,27.7727,86.4798,47.9409,24.2447,37.9291,40.425,48.1155,10.5296,3.67,20.8536,53.2133,45.7595
2016-05-16,118.67,730.3,710.66,,133.6899,28.2184,89.6899,48.6448,24.6468,38.2738,41.6186,49.2536,10.6578,3.79,21.1186,54.0517,46.2856
2016-05-17,117.35,720.19,695.27,,132.384,27.8377,89.3173,47.7375,24.3543,37.9195,41.7074,49.5028,10.5571,3.79,20.9724,53.5021,46.3569
2016-05-18,117.65,721.78,697.45,,131.7936,27.847,90.3395,48.021,24.4183,37.795,42.7728,49.453,10.5937,3.84,21.4933,54.0424,47.0702
2016-05-19,116.81,715.31,698.52,,129.6379,27.5127,89.9956,47.5579,25.1951,37.1918,42.9602,48.8466,10.4747,3.77,21.2466,53.3157,47.0435
2016-05-20,117.35,721.71,702.8,,131.7131,27.9955,90.9701,47.8415,25.5606,37.7376,43.7296,49.6441,10.6761,3.87,21.8497,54.5268,48.6128
2016-05-23,115.97,717.25,696.75,,131.2838,28.0698,92.1261,47.2838,25.5332,37.5173,43.7987,49.3948,10.6853,4.04,22.1787,54.7131,48.3096
